100,1.24762,1.20495
111,1.10912,1.00186
123,1.21534,1.05157
136,1.19947,0.875215
150,1.11667,0.800032
165,1.2046,1.16796
182,1.11292,0.922733
201,1.34633,0.957741
222,1.31194,1.24714
245,1.17718,1.06084
270,1.05191,1.08511
297,1.16425,0.96847
327,1.10902,0.975616
360,1.22353,0.917079
397,1.20368,0.957473
437,1.16928,1.07972
481,1.23173,0.950438
530,1.23603,1.04463
583,1.20509,0.924952
642,1.18356,1.06538
707,1.04854,0.980157
778,1.33688,0.98038
856,1.19338,0.994661
942,1.19307,0.822404
1037,1.17667,1.08185
1141,1.07796,1.00304
1256,1.35188,0.917632
1382,1.19696,0.989869
1521,1.23628,0.885167
1674,1.31898,1.07119
1842,1.11502,1.02757
2027,1.35221,0.927123
2230,1.19191,0.957075
2453,1.14243,0.969403
2699,1.13619,1.001
2969,1.24061,0.951146
3266,1.36307,1.00086
3593,1.21432,0.860637
3953,1.19932,1.11101
4349,1.07223,0.981419
4784,1.25965,0.944977
5263,1.22084,0.929968
5790,1.18701,0.90116
6370,1.16396,1.0805
7008,1.14936,0.919371
7709,1.39027,0.942209
8480,1.23583,0.956219
9328,1.19648,0.918452
10261,1.09983,1.07323
11288,1.21356,0.988332
12417,1.43313,0.892071
13659,1.18718,0.878944
15025,1.18452,1.14786
16528,1.16705,0.923557
18181,1.3329,0.980156
20000,1.224,0.962886
22000,1.1982,0.852076
24201,1.18074,1.11775
26622,1.13408,0.950769
29285,1.35506,0.935392
32214,1.41186,0.911564
35436,1.29555,0.929622
38980,1.44681,1.05402
42878,1.52879,0.992019
47166,1.83063,0.951464
51883,1.934,0.916869
57072,1.96185,0.918835
62780,1.99327,1.09124
69058,2.05916,0.963975
75964,2.24522,0.971933
83561,2.28453,0.965081
91918,2.33735,0.890156
101110,2.27293,1.12508
111222,2.32751,0.970336
122345,2.67614,0.950754
134580,2.67494,0.997415
148038,2.80284,0.888981
162842,2.91081,1.11708
179127,2.73683,1.03133
197040,2.99126,0.950207
216745,3.46825,0.961617
238420,3.13657,1.06409
262262,3.7003,0.83801
288489,4.19192,1.1246
317338,4.64199,0.985285
349072,5.14605,1.13648
383980,6.0235,0.964226
422379,6.46997,0.977468
464617,6.87281,0.943659
511079,7.49295,0.790443
562187,7.74381,0.914302
618406,8.23238,1.06359
680247,8.51218,1.05469
748272,8.75069,1.09904
823100,8.95376,0.940823
905411,9.30062,0.992621
995953,9.60944,0.994911
1095549,10.2023,1.00876
1205104,10.3207,1.04998
1325615,10.4212,1.03927
1458177,10.5938,0.929733
1603995,10.7791,1.00094
1764395,10.8989,0.992907
1940835,11.2066,0.965298
2134919,11.213,0.988691
2348411,11.2672,0.9732
2583253,11.4127,0.988938
2841579,11.5444,1.15071
3125737,11.7269,0.942612
3438311,11.9124,0.977463
3782143,11.9725,0.957028
4160358,10.8986,0.9459
4576394,11.2242,0.930995
5034034,11.6657,0.949162
5537438,12.1742,0.970576
6091182,13.2041,1.01799
6700301,12.1007,1.01208
7370332,13.1038,0.981423
8107366,14.6669,1.00953
8918103,16.7166,1.07563
9809914,19.7975,1.04219
10790906,24.0827,1.05828
11869997,26.2855,1.15168
13056997,30.2278,1.20287
14362697,33.4882,1.27786
15798967,34.8533,1.27717
17378864,37.304,1.21303
19116751,39.8891,1.2813
21028427,41.9622,1.30188
23131270,44.0263,1.32185
25444398,45.769,1.23069
27988838,47.5066,1.3253
30787722,49.3515,1.28817
33866495,50.4424,1.26237
37253145,51.9106,1.27378
40978460,52.9121,1.32447
45076306,54.6,1.34239
49583937,54.9476,1.32114
54542331,56.0345,1.32183
59996565,58.3527,1.36257
65996222,57.4939,1.31162
72595845,58.1399,1.34025
79855430,59.0501,1.29249
87840973,59.7793,1.26664
96625071,60.5298,1.28023
106287579,61.2512,1.14965
116916337,61.6908,1.29368
128607971,62.383,1.2274
141468769,62.6696,1.28037
155615646,63.1595,1.18708
171177211,63.5975,1.28296
188294933,64.0202,1.22573
207124427,64.4501,1.30519
227836870,64.4232,1.3195
250620558,64.7638,1.31822
275682614,64.9546,1.31548
303250876,65.4907,1.3057
333575964,65.407,1.25989
366933561,65.5643,1.32562
403626918,65.5926,1.31479
443989610,65.8706,1.32063
488388572,66.0027,1.30134
537227430,66.2762,1.27828
590950173,66.3348,1.28693
650045191,66.4491,1.30402
715049711,66.7351,1.29339
786554683,66.5323,1.32741
865210152,66.5004,1.32988
951731168,66.7176,1.2786
1046904285,66.5946,1.21026
1151594714,66.6461,1.17275
1266754186,66.633,1.12147
1393429605,67.1411,1.29133
1532772566,67.0123,1.13888
1686049823,67.0123,1.16606
1854654806,67.0675,1.17447
2040120287,67.1746,1.15089
2244132316,67.1458,1.13226
2468545548,67.1767,1.16794
2715400103,67.1074,1.1718
2986940114,67.2352,1.16582
3285634126,67.4471,1.14081
3614197539,67.8475,1.18082
3975617293,68.26,1.15704
4373179023,68.5176,1.20254
4810496926,69.1683,1.21022
5291546619,68.968,1.28512
5820701281,69.437,1.26779
